PostalCode,ListingID,Longitude,Latitude,ListDate,SoldPrice,PendingDate,List_year,List_month
30305,53237170.0,-84.399321,33.817067,26-Jun-2015 00:00:00,1800000.0,20-Jan-2016 00:00:00,2015.0,6.0
30305,53382444.0,-84.381335,33.846396,01-Jul-2015 00:00:00,405000.0,14-Dec-2015 00:00:00,2015.0,7.0
30305,53384918.0,-84.3823351,33.8326604,06-Jul-2015 00:00:00,615000.0,29-Aug-2015 00:00:00,2015.0,7.0
30305,53469605.0,-84.364152,33.8361329,09-Jul-2015 00:00:00,1100000.0,14-Nov-2015 00:00:00,2015.0,7.0
30305,53477140.0,-84.374126,33.833557,09-Jul-2015 00:00:00,1300000.0,03-Sep-2015 00:00:00,2015.0,7.0
30305,53537545.0,-84.385474,33.818047,10-Jul-2015 00:00:00,437500.0,04-Dec-2015 00:00:00,2015.0,7.0
30305,53538797.0,-84.385474,33.818047,10-Jul-2015 00:00:00,437500.0,04-Dec-2015 00:00:00,2015.0,7.0
30305,53542337.0,-84.365309,33.836326,11-Jul-2015 00:00:00,831555.0,24-Feb-2016 00:00:00,2015.0,7.0
30305,53574866.0,-84.3823066,33.8519174,13-Jul-2015 00:00:00,412500.0,12-Aug-2015 00:00:00,2015.0,7.0
30305,53703435.0,-84.374126,33.833557,09-Jul-2015 00:00:00,1300000.0,03-Sep-2015 00:00:00,2015.0,7.0
30305,53810571.0,-84.40541,33.83659,17-Jul-2015 00:00:00,795000.0,12-Feb-2016 00:00:00,2015.0,7.0
30305,53942972.0,-84.40541,33.83659,17-Jul-2015 00:00:00,795000.0,12-Feb-2016 00:00:00,2015.0,7.0
30305,53998335.0,-84.39445,33.825925,20-Jul-2015 00:00:00,2200000.0,06-Dec-2015 00:00:00,2015.0,7.0
30305,54001810.0,-84.39445,33.825925,20-Jul-2015 00:00:00,2200000.0,06-Dec-2015 00:00:00,2015.0,7.0
30305,54130709.0,-84.396514,33.8518,23-Jul-2015 00:00:00,1330000.0,05-Sep-2015 00:00:00,2015.0,7.0
30305,54131950.0,-84.396514,33.8518,23-Jul-2015 00:00:00,1330000.0,05-Sep-2015 00:00:00,2015.0,7.0
30305,54137769.0,-84.381324,33.828368,23-Jul-2015 00:00:00,860000.0,04-Dec-2015 00:00:00,2015.0,7.0
30305,54144700.0,-84.381324,33.828368,23-Jul-2015 00:00:00,860000.0,02-Dec-2015 00:00:00,2015.0,7.0
30305,54182586.0,-84.3831809,33.850135,22-Jul-2015 00:00:00,418000.0,13-Sep-2015 00:00:00,2015.0,7.0
30305,54183126.0,-84.3831809,33.850135,24-Jul-2015 00:00:00,418000.0,13-Sep-2015 00:00:00,2015.0,7.0
30305,54213579.0,-84.402259,33.819186,24-Jul-2015 00:00:00,945000.0,27-Aug-2015 00:00:00,2015.0,7.0
30305,54225486.0,-84.3925639,33.836382,24-Jul-2015 00:00:00,1808000.0,22-Oct-2015 00:00:00,2015.0,7.0
30305,54230001.0,-84.3925639,33.836382,24-Jul-2015 00:00:00,1808000.0,22-Oct-2015 00:00:00,2015.0,7.0
