6522,258216
6522,86195
6522,64689
6522,249397
6522,179144
273206,277216
273206,106646
273206,286034
273206,286183
273206,109264
200144,87101
200144,211672
200144,135397
200144,262500
200144,177572
220903,87101
220903,211672
220903,262500
220903,135397
220903,177572
9487,585
9487,12
9487,9806
9487,27576
9487,13932
103839,228150
103839,8741
103839,1771
103839,857
103839,31935
301953,31135
301953,67125
301953,140420
301953,66834
301953,66997
344675,207703
344675,157336
344675,177677
344675,76341
344675,4507
128409,225565
128409,14196
128409,59962
128409,11820
128409,14922
303458,26953
303458,338440
303458,342514
303458,340212
303458,262175
355622,254442
355622,288688
355622,221873
355622,179146
355622,339649
228326,795
228326,1649
228326,12159
228326,3064
228326,297021
87827,228165
87827,285
87827,551
87827,11836
87827,14372
8930,2044
8930,43933
8930,185142
8930,9451
8930,12501
180548,254470
180548,228165
180548,277216
180548,22
180548,11836
177204,59967
177204,277685
177204,949
177204,408
177204,2253
264659,59360
264659,59355
264659,110768
264659,219256
264659,178522
155711,140420
155711,293299
155711,68726
155711,47626
155711,21385
75720,211672
75720,177572
75720,87101
75720,262500
75720,135397
8092,1402
8092,245
8092,1023
8092,11631
8092,11521
333657,9777
333657,12271
333657,22318
333657,179144
333657,277216
209189,97020
209189,96
209189,8292
209189,9781
209189,5548
583,98
583,9564
583,402
583,615
583,967
9081,1018
9081,8066
9081,1626
9081,880
6524,118
6524,481
6524,12710
6524,4630
6524,798
260001,13523
260001,106646
260001,24420
260001,86331
260001,50544
51299,680
51299,1367
51299,107
51299,1374
51299,1375
41659,24469
41659,26579
41659,37265
41659,16980
41659,129139
2346,746
2346,12618
2346,10997
2346,10617
2346,8093
7211,157336
7211,22
7211,58
7211,49519
7211,10999
8060,949
8060,639
8060,16825
8060,7511
8060,65496
104452,59967
104452,9769
104452,27576
104452,3580
104452,219814
36968,157336
36968,675
36968,27022
36968,129
36968,58
38408,9494
38408,11472
38408,310468
38408,41210
38408,609
277967,2649
277967,12225
277967,58232
277967,254024
277967,16450
23223,979
23223,2017
23223,8067
23223,10575
23223,32689
1947,11967
1947,9394
1947,2024
1947,142
1947,11886
40701,246115
40701,126331
40701,280976
40701,10938
40701,159701
298723,806
298723,794
298723,10768
298723,1250
298723,534
8967,7980
8967,51409
8967,33403
8967,325534
176881,276839
176881,9394
176881,10908
176881,164251
176881,638
213592,132800
213592,2310
213592,318147
213592,318322
213592,317739
17962,12225
17962,10145
17962,29987
17962,47244
352164,19913
352164,11931
352164,277216
352164,129139
352164,12620
91515,31135
91515,67125
91515,140420
91515,66834
91515,66997
59501,68507
59501,27643
59501,216919
59501,323449
59501,104289
63334,254470
63334,76757
63334,24469
63334,26579
63334,12271
130737,241239
130737,225886
130737,228165
130737,50544
130737,338676
295126,11355
295126,120467
295126,49026
295126,680
295126,1949
144656,11448
144656,11456
144656,5126
144656,1267
144656,76494
164528,254470
164528,277216
164528,240832
164528,106646
164528,193893
21263,20943
21263,299828
21263,146109
21263,57773
21263,288010
57298,341366
57298,209087
57298,355244
57298,254627
268182,285
268182,7840
268182,11690
268182,36444
268182,1498
24566,603
24566,605
24566,207427
24566,37228
24566,23192
11983,135397
11983,76341
11983,168259
11983,241251
11983,310
220830,25769
220830,290329
220830,249937
220830,352300
220830,211286
174669,150744
174669,290092
174669,283406
174669,178047
174669,59967
54577,293863
54577,106646
54577,86331
54577,103626
54577,225886
72406,140420
72406,68726
72406,47626
72406,13794
72406,293299
308849,334766
308849,109445
308849,173423
308849,707
308849,27576
26678,287424
26678,72190
26678,338676
26678,49901
26678,241842
152570,193893
152570,76341
152570,157336
152570,122917
152570,245891
55144,1538
55144,873
55144,638
55144,594
55144,2148
35126,238726
35126,233161
35126,29958
35126,241251
35126,11564
170150,21468
170150,3065
170150,13816
170150,263537
170150,5124
113156,72570
113156,91010
113156,78698
113156,101669
113156,9039
157807,76341
157807,4507
157807,4723
157807,9659
157807,35203
33250,37165
33250,4723
33250,176297
33250,252208
33250,221583
56942,149524
56942,322509
68476,31311
68476,24729
68476,74387
340286,312966
340286,14069
340286,95853
340286,214144
340286,252698
215518,64495
215518,348831
215518,129926
215518,267926
215518,269185
56503,20786
56503,2820
56503,2402
56503,285
56503,524
348119,325558
348119,22
348119,19899
348119,1865
348119,2669
421,228165
421,1865
421,11836
421,285
421,644
75743,277216
75743,650
75743,10476
75743,17667
75743,10151
125300,194662
125300,50719
125300,277216
125300,634
125300,10719
340474,225886
340474,228165
340474,50544
340474,73134
340474,10681
299178,241251
299178,129139
299178,115290
299178,37797
299178,183445
51087,241251
51087,222935
51087,73134
51087,210908
51087,2105
232580,157336
232580,10995
232580,260346
232580,12225
232580,65496
8067,32689
8067,76341
8067,2017
8067,4771
8067,25832
217475,310468
217475,248142
217475,17609
217475,177945
217475,609
315547,603
315547,605
315547,207427
315547,37228
315547,23192
220923,105
220923,157350
220923,50544
220923,225886
220923,228165
25543,49017
25543,36648
25543,241251
25543,68718
25543,209611
121725,13310
121725,70821
121725,15907
121725,246115
121725,295022
10505,627
10505,641
10505,4441
10505,476
10505,59967
4839,310
4839,634
4839,843
4839,744
4839,1278
51557,27066
51557,12225
51557,10995
51557,80207
51557,37265
10369,9008
10369,586
10369,1912
10369,1557
10369,36023
33696,164
33696,284
33696,223
33696,153
33696,2652
68365,10884
68365,310
68365,9746
